Overall rank,Country Code,Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP,Family,Health,Freedom,Corruption,Generosity,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
153,AFG,Afghanistan,Southern Asia,Asia (other),Muslim,34414000,652860,3.512,0.356,0.41,0.254,0.118,0.06,0.268,541.656,48.61,#N/A,5.279715954,0.32,8.755,16.69,22.32,8.86,#N/A,#N/A,0.1,99.7,0,0.03,0,0,0.06,0,33.8,26,2.85,35,4.98,58.8,6.66,87,0.2,2.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.3,6.93
137,AGO,Angola,Sub-Saharan Africa,Portuguese,Christian,27884000,1246700,3.875,0.8,0.9375,0.135,0.0275,0.07,0.105,3606.42,50.54,0.6659,6.195113927,0.515,7.73,26.875,55.04,7.28,#N/A,51.3,90.5,1,5.1,0,0,4.2,0,0,29.8,66.8,3.72,33,5.77,15.9,4.85,93,6.4,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4,9.05
95,ALB,Albania,Eastern Europe,Europe (other),Muslim,2891000,27400,4.714,0.942,0.754,0.786,0.372,0.042,0.168,4649.024,49.09,0.6412,5.885342479,0.645,7,6.335,10.01,17.08,24.36,33.2,18,80.3,1.4,0,0,0,0.2,0,7,62.1,5.89,32,1.68,#N/A,2.29,177,7.5,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-9.4,7.37
20,ARE,United Arab Emirates,Middle East and Northern Africa,Arabic,Muslim,9263000,71020,6.744,1.646,1.072,0.754,0.538,0.3125,0.268,40878.542,29.6,0.6372,6.120097806,0.1,6.75,8.99,8.945,1.93,25,32.5,12.6,76.9,1.1,6.6,2,0,0.8,0,#N/A,87,2.76,32,1.54,38.94,0.5,104,3.8,2.99,#N/A,170.89,80,38,52,68,0,6.1,1.38
30,ARG,Argentina,Latin America and Caribbean,Spanish,Christian,43075000,2736690,6.46,1.11,1.332,0.762,0.48,0.062,0.092,12572.252,51.27,0.7195,11.30154506,0.79,14.305,13.895,20.125,7.15,#N/A,41.4,85.2,1,12.2,0,0.05,0.8,0.3,0.5,5,92.1,7.02,25,2.3,14.6,5.32,230,9.8,0.99,#N/A,172.79,49,46,56,86,0,0.1,7.64
127,ARM,Armenia,Central Asia,Europe (other),Christian,2926000,28470,4.394,0.84,0.892,0.7,0.216,0.04,0.084,3991.37,52.99,0.6634,10.15635363,0.295,8.415,14.53,35,18.26,16.67,34.4,98.5,0,1.3,0,0,0,0.1,0,7.8,63.3,5.54,36,1.74,25.51,1.69,76,5.5,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.1,9.82
10,AUS,Australia,Australia and New Zealand,English,Christian,23932000,7692020,7.274,1.392,1.408,0.914,0.606,0.314,0.416,54619.268,50.17,0.739,12.88929122,0.39,16.215,15.425,15.055,6.06,43.48,34.4,67,2.8,24.2,1.2,2.7,0.7,0.8,0.5,#N/A,86.2,9.09,30,1.81,8,0.89,170,10.6,2.17,106.7,148.25,36,90,61,51,31,8.6,6.6
13,AUT,Austria,Northern Europe,German,Christian,8679000,82522.99805,7.144,1.4,1.364,0.886,0.576,0.214,0.292,47753.454,51.04,0.7437,16.65953141,0.285,13.02,21.775,37.12,5.72,35.29,29.7,80.4,5.4,13.5,0,0.2,0,0.1,0.2,#N/A,58.7,8.29,38,1.49,12.17,0.97,98,11.6,0.91,60.5,80.52,11,55,79,70,0,6.3,9.6
80,AZE,Azerbaijan,Central Asia,Europe (other),Muslim,9623000,82670,5.228,1.07,1.032,0.62,0.38,0.176,0.052,4612.314,50.24,0.6582,4.307680876,0.27,4.935,6.565,10.56,4.96,15.46,26.6,3,96.9,0,0,0,0,0,0,7.4,56.4,2.75,40,1.94,#N/A,2.2,235,0.8,0.48,#N/A,162.23,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,5.7
157,BDI,Burundi,Sub-Saharan Africa,French,Christian,10160000,25680,3.082,0.064,0.472,0.212,0.102,0.106,0.186,282.748,50.49,0.7397,6.430456747,0.635,7.335,28.545,63.535,1.57,#N/A,38.6,91.5,10,0,0,0,5.7,0,0,#N/A,13.7,2.15,30,5.7,#N/A,6.02,85,7.5,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.5,8.52
19,BEL,Belgium,Northern Europe,Europe (other),Christian,11288000,30280,6.922,1.376,1.356,0.884,0.536,0.238,0.208,44177.336,50.84,0.7684,19.31999433,0.28,18.825,27.855,29.525,8.48,53.85,27.4,64.25,5.9,29,0,0.2,0.2,0,0.3,#N/A,98.1,7.64,30,1.7,12.52,1.7,95,12.1,0.82,79,146.77,65,75,54,94,0,4.7,9.8
155,BEN,Benin,Sub-Saharan Africa,French,Christian,10576000,112760,3.9,0.376,0.34,0.276,0.42,0.072,0.186,1152.188,50.17,0.5885,6.026321749,0.395,7.04,25.04,55.09,2.63,#N/A,47.8,48,28,6,0,0,18,0,0,24,48.4,5.09,37,5.05,#N/A,1.1,68,3,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9,9.33
152,BFA,Burkina Faso,Sub-Saharan Africa,French,Muslim,18111000,273600,4.074,0.314,0.936,0.266,0.322,0.124,0.214,734.854,50.2,0.6513,7.134316284,0.54,8.255,29.47,64.325,6.49,#N/A,35.3,22.5,62,0.4,0,0,15.4,0,0,25.8,30.6,4.04,45,5.44,#N/A,1.3,39,8.2,0.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.5,8.82
109,BGD,Bangladesh,Southern Asia,Asia (other),Muslim,156256000,130170,4.58,0.524,0.64,0.592,0.48,0.132,0.178,1553.614,49.3,0.6848,5.984103676,1.6,8.275,6.6,11.055,4.43,#N/A,32.4,0.2,90,0.05,9.1,0.5,0.4,0.02,0,25.8,38.2,5.88,21,2.12,83.3,2.37,52,0,0.51,#N/A,271.69,#N/A,#N/A,#N/A,#N/A,#N/A,-3,5.55
134,BGR,Bulgaria,Eastern Europe,Europe (other),Christian,7200000,108560,4.618,1.084,1.3,0.738,0.296,0.008,0.1,8418.322,51.36,0.7097,13.75630498,0.445,10.075,18.06,30.855,9.14,39.47,40.4,82.1,13.7,4.2,0,0,0,0,0,5,75.7,7.03,32,1.53,25.49,1.3,125,12.7,0.7,#N/A,103.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.3
49,BHR,Bahrain,Middle East and Northern Africa,Arabic,Muslim,1372000,778.0000305,6.116,1.39,1.244,0.726,0.518,0.212,0.202,23302.506,38.28,0.6334,5.037497253,0.115,6.25,5.865,8.25,1.21,#N/A,#N/A,14.5,70.3,1.9,9.8,2.5,0,0.2,0.6,#N/A,89.5,2.55,44,2.06,46.8,0.52,234,1.9,1.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.4,2.35
96,BIH,Bosnia and Herzegovina,Eastern Europe,Europe (other),Muslim,3429000,51200,5.162,0.922,0.984,0.764,0.176,0.002,0.272,5452.4,50.97,#N/A,9.2110116,0.56,7.8,12.065,21.725,27.69,12.5,33,52.3,45.2,2.5,0,0,0,0,0,5,49,4.86,29,1.3,34.58,1.17,73,6.4,0.43,#N/A,89.98,#N/A,#N/A,#N/A,#N/A,#N/A,-14.5,10.31
59,BLR,Belarus,Eastern Europe,Europe (other),Christian,9439000,202988.0078,5.596,1.086,1.338,0.7,0.304,0.162,0.12,5945.374,53.47,#N/A,24.9390509,0.605,24.865,34.625,39.855,0.49,44.57,25.2,71.2,0.2,28.6,0,0,0,0,0,5,79.5,2.48,29,1.72,#N/A,2.39,343,11.2,0.78,#N/A,109.39,#N/A,#N/A,#N/A,#N/A,#N/A,1.5,12.6
,BLZ,Belize,Latin America and Caribbean,English,Christian,361000,22810,5.96,0.866666667,0.956666667,0.46,0.55,0.1,0.22,4836.366,50.09,0.6449,6.795064383,0.235,8.965,12.5,18.26,9.97,#N/A,53.3,87.6,0.1,8.9,0.2,0.5,1.5,0.1,1,#N/A,46,#N/A,27,2.44,#N/A,37.9,356,6.8,0.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.4,4.62
51,BOL,Bolivia,Latin America and Caribbean,Spanish,Christian,10870000,1083300,5.812,0.766,1.096,0.54,0.552,0.068,0.188,3312.882,49.74,0.734,5.817375863,0.6,6.995,12.29,15.92,3.07,#N/A,42.2,93.9,0.1,4.1,0,0,0.9,1,0,15.4,70.1,4.84,26,2.89,#N/A,6.3,158,4.8,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.1,6.89
16,BRA,Brazil,Latin America and Caribbean,Portuguese,Christian,204472000,8358140,6.658,1.034,1.322,0.682,0.442,0.122,0.136,9033.582,50.77,0.6949,6.53988263,0.43,8.055,8.96,9.88,8.44,21.21,53.9,95.9,0.8,7.9,0,0.1,2.8,0.2,0.06,5,87.1,6.86,22,1.75,15.77,27.38,348,7.8,1.05,#N/A,177.06,69,38,49,76,65,0,6.25
79,BTN,Bhutan,Southern Asia,Asia (other),Buddhist,728000,38143.99902,5.124,0.824,1.202,0.54,0.498,0.164,0.434,2442.604,47.24,0.6651,5.152813766,0.275,6,10.715,17.465,2.45,#N/A,37.4,0.5,0.2,0,22.6,74.7,1.9,0,0,#N/A,42.3,5.3,0,2.04,#N/A,1.19,145,0.6,0.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,6.26
128,BWA,Botswana,Sub-Saharan Africa,English,Christian,2121000,566730,3.83,1.052,1.106,0.34,0.492,0.104,0.078,7635.576,51.85,0.6752,8.824516087,0.09,11.12,17.81,29.365,17.01,#N/A,53.3,72.1,0.4,20.6,0.3,0,6,0.6,0,23.6,70.9,7.81,29,2.97,#N/A,15.04,208,8.4,0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-7.1,6.26
148,CAF,Central African Republic,Sub-Saharan Africa,French,Christian,4493000,622980,3.1325,0.0325,0,0.0525,0.325,0.055,0.245,434.874,50.45,#N/A,11.14365291,0.8,13.505,39.955,55.53,6.39,#N/A,56.2,89.5,15,1,0,0,1,0,0,53.6,42.2,1.32,24,4.94,#N/A,19.76,16,3.3,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-17.8,13.62
5,CAN,Canada,North America,English,Christian,36027000,9093510,7.352,1.39,1.388,0.902,0.608,0.306,0.392,44712.888,50.41,0.7425,13.20727889,0.88,15.835,17.015,12.315,6.91,47.73,33.8,72,2.8,23.7,1.4,0.8,1.2,0.9,1,#N/A,81.6,9.22,16,1.56,7.72,1.76,107,8.9,2.23,99.6,140.45,#N/A,#N/A,#N/A,#N/A,#N/A,7.1,7.4
1,CHE,Switzerland,Northern Europe,Europe (other),Christian,8297000,39516.00098,7.512,1.472,1.42,0.928,0.622,0.38,0.278,81503.132,50.51,0.7736,13.65543657,0.255,10.75,19.51,28.4,4.8,40,32.7,81.3,5.5,11.9,0.4,0.4,0,0.1,0.3,#N/A,73.9,9.03,27,1.54,10.89,0.59,81,11.5,1.01,#N/A,93.85,34,68,70,58,0,9.9,8.2
27,CHL,Chile,Latin America and Caribbean,Spanish,Christian,17969000,743532.0313,6.59,1.174,1.202,0.846,0.398,0.088,0.274,14629.674,50.78,0.667,11.42382502,0.57,13.655,14.705,17.335,6.51,21.21,44.4,89.4,0.1,8.6,0,0.06,1.5,0.2,0.1,5,87.7,8.08,30,1.75,22.63,4.4,232,9.3,1.24,41.4,128.07,63,23,28,86,0,1.9,5.92
84,CHN,China,Eastern Asia,Chinese,Atheist,1406848000,9388210,5.22,1.004,1.034,0.798,0.51,0.056,0.05,9066.536,48.64,0.6908,9.119164073,0.74,5.79,14.215,39.115,4.61,44.44,38.5,5.1,1.8,52.2,0,18.2,21.9,0.7,0,6.5,61.4,2.26,16,1.67,39.12,0.53,120,7.2,1.08,#N/A,160.05,80,20,66,40,118,-0.2,7.11
151,CIV,Ivory Coast,Sub-Saharan Africa,French,Mixed,23226000,318000,4.274,0.548,0.786,0.11,0.43,0.132,0.18,2137.146,49.42,0.5814,7.777696109,0.67,8.66,30.905,71.73,2.66,#N/A,41.5,44.1,43.2,8,0,0,10.2,0.2,0,24.9,51.7,4.05,34,4.81,#N/A,11.63,82,8.4,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,10.77
133,CMR,Cameroon,Sub-Saharan Africa,French,Christian,23298000,472710,4.696,0.518,0.854,0.2,0.436,0.05,0.21,1429.868,50.04,0.656,7.887828,0.525,9.12,31.335,68.73,4.3,#N/A,46.6,70.3,30,5.3,0,0,3.3,2.7,0,22.6,57.6,2.85,18,4.78,#N/A,1.4,124,8.9,0.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,10.05
120,COD,Congo (Kinshasa),Sub-Saharan Africa,French,Christian,76245000,2267050,4.348,0.062,1.062,0.208,0.242,0.06,0.232,507.598,50.13,#N/A,6.643680229,0.505,8.005,26.2,47.78,3.71,#N/A,42.1,95.8,15,1.8,0.05,0,0.7,0.1,0,#N/A,45.6,1.13,12,6.2,32.1,13.55,29,2.6,0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,10.16
139,COG,Congo (Brazzaville),Sub-Saharan Africa,French,Christian,4856000,341500,4.378,0.722,0.716,0.346,0.422,0.094,0.112,1916.028,50.11,#N/A,9.176410771,0.59,10.075,31.465,58.735,10.02,#N/A,48.9,85.9,2,9,0,0,2.8,1.1,0,#N/A,67.8,3.11,26,4.59,#N/A,9.32,27,7.8,0.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.6,7.18
33,COL,Colombia,Latin America and Caribbean,Spanish,Christian,47521000,1109500,6.342,0.994,1.302,0.674,0.492,0.044,0.138,6315.186,50.99,0.7171,5.704094382,0.915,7.94,6.285,7.315,8.24,30.43,50.4,86,0.2,11,0.01,0.01,1,2,0.01,6.7,81.4,7.13,33,1.86,14.61,25.34,246,5.8,1.1,#N/A,196.41,67,13,64,80,0,-0.8,5.41
140,COM,Comoros,Sub-Saharan Africa,French,Muslim,777000,1861.000061,3.963333333,0.263333333,0.716666667,0.39,0.173333333,0.153333333,0.21,1329.79,49.57,#N/A,5.980690187,0.545,5.625,17.81,40.76,4.34,#N/A,45.3,0.2,99.8,0,0,0,0,0,0,#N/A,29.4,3.15,25,4.42,#N/A,7.7,27,0.9,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.7,7.49
12,CRI,Costa Rica,Latin America and Caribbean,Spanish,Christian,4848000,51060,7.128,1.036,1.316,0.832,0.59,0.102,0.194,11826.146,49.97,0.7241,8.230084482,0.54,10.605,11.125,9.115,9.26,47.17,48,90.9,0.1,7.9,0,0,0.8,0.3,0,5,80.8,8.13,19,1.81,10.4,11.26,374,4.8,0.77,#N/A,#N/A,35,15,21,86,0,0.8,4.86
67,CYP,Cyprus,Southern Europe,Europe (other),Christian,1161000,9240,5.734,1.276,1.028,0.912,0.38,0.046,0.25,26150.6,49.92,0.6801,5.611600943,0.06,6.74,6.73,6.12,14.92,30.67,31.4,73.2,25.3,1.2,0,0.2,0,0,0,#N/A,66.8,7.59,34,1.35,19.72,1.26,86,10.8,0.57,#N/A,108.24,#N/A,#N/A,#N/A,#N/A,#N/A,4,6.84
31,CZE,Czech Republic,Eastern Europe,Europe (other),Atheist,10601000,77220,6.656,1.268,1.326,0.824,0.472,0.036,0.082,20541.528,50.87,0.677,14.62506717,0.275,14.095,19.825,24.005,5.05,50,24.9,23.3,0,76.4,0,0,0,0,0,#N/A,74.1,7.69,33,1.57,14.45,0.6,197,14.4,0.95,57.1,92.7,57,58,57,74,0,1.1,10.5
